priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,cashFlowToDebtRatio,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Price to Sales Ratio,Earnings Yield,Free Cash Flow Yield,Dividend Yield,Payout Ratio,2019 PRICE VAR [%],Sector,Symbol
2.1632,0.0,1.6391,13.3008,12.9254,6.3757,6.3424931159579,13.136438090395,1.6306046667276002,0.021751607189164,0.792,0.54044850197442,0.13817338695069,0.444,1.5604,0.21743643897157,0.358,0.25709206725428,0.49327077416965,0.21743643897157,5.524556616643901,1.973440545809,1.5511363636363995,0.28573864120706,1.6391,0.0752,0.0774,0.0269,0.358,32.79457340696426,Consumer Cyclical,CMCSA
1.0271,3.916,2.3999,23.303,16.084,6.7309,6.600806186793599,20.688542945929,2.3534972850679,0.0486063005493509,0.757,0.6322614794230501,0.43403466984253,0.4733,1.1083,0.13511413567678,1.098,0.35654694570136,0.42018639698592,0.13511413567678,1.4884887839433,1.7246922024623998,1.1103038309115,1.005593536358,2.3999,0.0429,0.0624,0.0471,1.098,40.58806776062004,Energy,KMI
2.8625,5.5853,3.0232,10.2691,15.1845,7.2774,7.2615573355531,10.151624732817,3.0166293402778,0.025926184335157,1.731,1.1050162396247,0.18158306267292,0.206,0.3535,1.1165825714177,0.263,0.41542457091238,0.48420086980158,1.1165825714177,23.340206185567,1.9387392134905,1.4203262233375,0.26319289412435,3.0232,0.0974,0.0665,0.0256,0.263,30.295513769487663,Technology,INTC
1.8919,1.9878,2.0135,4.2999,7.1329,3.5168,3.493075862069,4.2999306685532,1.9999183968938,-0.0,2.787,2.1341675356274,1.1306916927355,0.1069,0.1436,3.7508083638715,0.0,0.57253792241124,0.4897126436781599,3.7508083638715,20.256111757858,1.9596801441604,1.9596801441604,-0.0,2.0135,0.2326,0.1393,0.0,0.0,64.21373673067748,Technology,MU
2.0436,0.0,0.5206,0.0,89.2974,14.9109,14.889427521079,18.022004162847,0.51984137856761,0.070768174011214,1.7182084143933,1.4025869878373,0.46221245377727,0.3329999999999999,3.344,0.0437240626512479,-0.141,0.034913456399293,0.16698068770608,0.0437240626512479,2.775381930354,1.2004523607577,0.5300212208213699,0.159489609122685,0.5206,-0.3599,0.0112,0.0508,-0.141,44.75784025571753,Industrials,GE
0.9151,1.2364,2.6502,9.3333,6.295,6.119,6.2293514461032,8.7463661900025,2.6979952124453,0.0280075100901429,0.41173975018571,0.41079879921765,0.23564930900069,0.1854,1.6454,0.14781180923599,0.205,0.4331101296481,1.0,0.14781180923599,1.0406846609612,13.178464896326,5.7316896301668,0.24496393931858,2.6502,0.1071,0.1634,0.0219,0.205,44.31598762467044,Financial Services,BAC
10.1842,10.1842,4.1328,18.9226,17.563,14.1753,14.375642493446,18.698887988401,4.1912065394209,0.012318046710734,1.133,0.99453976140569,0.22352474359306,0.313,1.0685,0.67637989919901,0.226,0.29154916319961,0.8280729395355999,0.67637989919901,3.7321187584345,5.8164200405619,2.8652728954672004,0.2303337756799,4.1328,0.0528,0.0584,0.012,0.226,88.74246462864862,Technology,AAPL
9.2879,19.7085,6.9626,46.5163,23.8769,17.5097,17.267606189044002,45.728781002957,6.866361272200099,0.016758347102543,2.901,2.7398611681029,2.2871016276843,0.316,0.989,0.53642675532955,0.767,0.39764407393983,0.7349375626652099,0.53642675532955,10.976488244122,3.7726960110041,1.8036250051375,0.76633878462374,6.9626,0.0215,0.042,0.0165,0.767,58.25926290883441,Technology,MSFT
0.0,0.0,4.3949,21.9615,16.7094,13.4873,13.492365458159,21.57618666843,4.396576159341,0.0079394474955619,0.171,0.10239029611131,0.019265073135926,0.8428,-3.7909,0.27299912891986,0.173,0.32585658704363,0.81083833488086,0.27299912891986,626.806,5.2864833864207,3.3751447130598,0.17130300120844,4.3949,0.0455,0.0601,0.0079,0.173,22.161943160855284,Consumer Cyclical,SIRI
0.0,0.0,0.6533,7.3152,9.3852,8.4363,8.408593087455799,7.1473830486202,0.65115114071692,0.023611845734698,0.851,0.4090167522183799,0.20556285066253,0.1729,-9.3693,0.7563053282111201,0.1689999999999999,0.077438774114106,0.91740282685512,0.7563053282111201,3.095010252905,12.106951871658,3.5569520816968,0.16876290595082,0.6533,0.1367,0.1087,0.0231,0.1689999999999999,3.016788856333025,Technology,HPQ
